Number,Name,Nationality,Date of Birth,Weight,Height,Position,2020/2021,2019/2020,2018/2019,2021/2022
28,Joseph Willock,England,20-08-99,71kg,179cm,Midfielder,Arsenal,Newcastle  (Loan) ,Arsenal,Newcastle
36,Sean Longstaff,England,30-10-97,65kg,180cm,Midfielder,Newcastle,Newcastle,Newcastle,Newcastle
24,Miguel Almirón,Paraguay,10-02-94,70kg,174cm,Midfielder,Newcastle,Newcastle,Newcastle,Newcastle
14,Isaac Hayden,England,22-03-95,79kg,185cm,Midfielder,Newcastle,Newcastle,Newcastle,Newcastle
39,Bruno Guimarães,Brazil,16-11-97,74kg,182cm,Midfielder,,,,Newcastle
50,Lucas De Bolle,Scotland,22-10-02,,,Midfielder,,,,Newcastle
7,Joelinton,Brazil,14-08-96,81kg,186cm,Forward,Newcastle,Newcastle,,Newcastle
10,Allan Saint-Maximin,France,12-03-97,67kg,173cm,Forward,Newcastle,Newcastle,,Newcastle
34,Dwight Gayle,England,17-10-89,78kg,174cm,Forward,Newcastle,Newcastle,Newcastle,Newcastle
13,Kristoffer Klaesson,Norway,27-11-00,76kg,189cm,Goalkeeper,,,,Leeds
2,Luke Ayling,England,25-08-91,72kg,185cm,Defender,Leeds,Arsenal,Arsenal,Leeds
6,Liam Cooper,Scotland,30-08-91,73kg,180cm,Defender,Leeds,Hull,Hull,Leeds
5,Robin Koch,Germany,17-07-96,85kg,192cm,Defender,Leeds,,,Leeds
14,Diego Llorente,Spain,16-08-93,75kg,186cm,Defender,Leeds,,,Leeds
20,Chris Wood,New Zealand,07-12-91,81kg,191cm,Forward,Burnley,Burnley,Burnley,Newcastle
9,Callum Wilson,England,27-02-92,66kg,180cm,Forward,Newcastle,Bournemouth,Bournemouth,Newcastle
1,Illan Meslier,France,02-03-00,74kg,193cm,Goalkeeper,Leeds,Leeds,,Leeds
21,Pascal Struijk,Netherlands,11-08-99,,190cm,Defender,Leeds,,,Leeds
27,Laurens De Bock,Belgium,07-11-92,74kg,179cm,Defender,Leeds,,,Leeds
3,Junior Firpo,Spain,22-08-96,78kg,184cm,Defender,,,,Leeds
35,Charlie Cresswell,England,17-08-02,,,Defender,Leeds,Leeds,,Leeds
33,Leo Fuhr Hjelde,Norway,26-08-03,,188cm,Defender,,,,Leeds
52,Kris Moore,England,13-11-03,,,Defender,,,,Leeds
4,Adam Forshaw,England,08-10-91,71kg,174cm,Midfielder,Leeds,Middlesbrough,Everton,Leeds
15,Stuart Dallas,Northern Ireland,19-04-91,81kg,183cm,Midfielder,Leeds,,,Leeds
23,Kalvin Phillips,England,02-12-95,72kg,178cm,Midfielder,Leeds,,,Leeds
43,Mateusz Klich,Poland,13-06-90,84kg,183cm,Midfielder,Leeds,,,Leeds
46,Jamie Shackleton,England,08-10-99,65kg,168cm,Midfielder,Leeds,,,Leeds
22,Jack Harrison,England,20-11-96,70kg,175cm,Midfielder,Leeds  (Loan) ,Leeds  (Loan) ,Man City,Leeds
45,Liam McCarron,Scotland,07-03-01,,175cm,Midfielder,Leeds,Leeds,,Leeds
38,Crysencio Summerville,Netherlands,30-10-01,,174cm,Midfielder,Leeds,Leeds,,Leeds
20,Daniel James,Wales,10-11-97,76kg,171cm,Midfielder,Man Utd,Man Utd,Man Utd,Leeds
39,Stuart McKinstry,Scotland,18-09-02,,,Midfielder,,,,Leeds
26,Lewis Bate,England,28-10-02,,,Midfielder,Chelsea,Chelsea,Chelsea,Leeds
47,Jack Jenkins,England,23-03-02,,,Midfielder,Leeds,Leeds,,Leeds
54,Nohan Kenneh,England,10-01-03,,,Midfielder,Leeds,,,Leeds
63,Archie Gray,England,12-03-06,,,Midfielder,,,,Leeds
9,Patrick Bamford,England,05-09-93,71kg,185cm,Forward,Leeds,Middlesbrough,Burnley  (Loan) ,Leeds
11,Tyler Roberts,Wales,12-01-99,75kg,180cm,Forward,Leeds,West Brom,West Brom,Leeds
10,Raphinha,Brazil,14-12-96,68kg,176cm,Forward,Leeds,,,Leeds
19,Rodrigo,Spain,06-03-91,77kg,182cm,Forward,Leeds,Bolton  (Loan) ,,Leeds
21,John Ruddy,England,24-10-86,97kg,193cm,Goalkeeper,Wolves,Wolves,Wolves,Wolves
42,Sam Greenwood,England,26-01-02,,185cm,Forward,Leeds,Leeds,,Leeds
1,José Sá,Portugal,17-01-93,84kg,192cm,Goalkeeper,,,,Wolves
48,James Storer,England,,,,Goalkeeper,,,,Wolves
,Matija Sarkic,Montenegro,23-07-97,,195cm,Goalkeeper,Wolves,Wolves,Aston Villa,Wolves
2,Ki-Jana Hoever,Netherlands,18-01-02,65kg,180cm,Defender,Wolves,Liverpool,Liverpool,Wolves
5,Marçal,Brazil,19-02-89,74kg,178cm,Defender,Wolves,,,Wolves
15,Willy Boly,Cote D’Ivoire,03-02-91,92kg,195cm,Defender,Wolves,Wolves,Wolves,Wolves
19,Jonny,Spain,03-03-94,70kg,175cm,Defender,Wolves,Wolves,Wolves  (Loan) ,Wolves
22,Nélson Semedo,Portugal,16-11-93,67kg,177cm,Defender,Wolves,,,Wolves
14,Yerson Mosquera,Colombia,02-05-01,76kg,187cm,Defender,,,,Wolves
23,Maximilian Kilman,England,23-05-97,,,Defender,Wolves,Wolves,Wolves,Wolves
16,Conor Coady,England,25-02-93,73kg,185cm,Defender,Wolves,Wolves,Wolves,Wolves
3,Rayan Aït-Nouri,France,06-06-01,70kg,179cm,Defender,Wolves  (Loan) ,Wolves  (Loan) ,,Wolves
30,Joe Gelhardt,England,04-05-02,65kg,175cm,Forward,Leeds,Leeds,,Leeds
64,Hugo Bueno,Spain,18-09-02,73kg,180cm,Defender,Wolves,Wolves,,Wolves
81,Dexter Lembikisa,England,04-11-03,,,Defender,,,,Wolves
24,Toti,Portugal,16-01-99,72kg,187cm,Defender,,,,Wolves
27,Romain Saïss,Morocco,26-03-90,80kg,190cm,Midfielder,Wolves,Wolves,Wolves,Wolves
28,João Moutinho,Portugal,08-09-86,61kg,170cm,Midfielder,Wolves,Wolves,Wolves,Wolves
10,Daniel Podence,Portugal,21-10-95,58kg,165cm,Midfielder,Wolves,Wolves,,Wolves
8,Rúben Neves,Portugal,13-03-97,80kg,180cm,Midfielder,Wolves,Wolves,Wolves,Wolves
32,Leander Dendoncker,Belgium,15-04-95,83kg,188cm,Midfielder,Wolves,Wolves,Wolves  (Loan) ,Wolves
9,Raúl Jiménez,Mexico,05-05-91,76kg,190cm,Forward,Wolves,Wolves,Wolves  (Loan) ,Wolves
7,Pedro Neto,Portugal,09-03-00,69kg,172cm,Forward,Wolves,Wolves,,Wolves
39,Luke Cundle,England,26-04-02,,,Midfielder,Wolves,Wolves,Wolves,Wolves
17,Fábio Silva,Portugal,19-07-02,75kg,185cm,Forward,Wolves,,,Wolves
11,Trincão,Portugal,29-12-99,70kg,184cm,Forward,,,,Wolves
77,Chem Campbell,Wales,30-12-02,,,Forward,Wolves,Wolves,,Wolves
26,Hwang Hee-Chan,South Korea,26-01-96,77kg,177cm,Forward,,,,Wolves
20,Chiquinho,Portugal,05-02-00,73kg,179cm,Forward,,,,Wolves
23,Jason Steele,England,18-08-90,79kg,188cm,Goalkeeper,Brighton,Brighton,Brighton,Brighton
1,Robert Sánchez,Spain,18-11-97,90kg,197cm,Goalkeeper,Brighton,Brighton,Brighton,Brighton
38,Thomas McGill,England,25-03-00,,,Goalkeeper,Brighton,Brighton,,Brighton
2,Tariq Lamptey,England,30-09-00,,,Defender,Brighton,Brighton,Chelsea,Brighton
5,Lewis Dunk,England,21-11-91,88kg,192cm,Defender,Brighton,Brighton,Brighton,Brighton
1,Kjell Scherpen,Netherlands,23-01-00,98kg,204cm,Goalkeeper,Brighton,,,Brighton
4,Adam Webster,England,04-01-95,75kg,191cm,Defender,Brighton,Brighton,,Brighton
34,Joël Veltman,Netherlands,15-01-92,75kg,184cm,Defender,Brighton,,,Brighton
28,Haydon Roberts,England,10-05-02,,,Defender,Brighton,Brighton,Brighton,Brighton
24,Shane Duffy,Ireland,01-01-92,76kg,193cm,Defender,Brighton,Brighton,Brighton,Brighton
54,James Furlong,Ireland,07-06-02,,,Defender,,,,Brighton
57,Odeluga Offiah,England,26-10-02,,,Defender,,,,Brighton
35,Tudor Baluta,Romania,27-03-99,80kg,192cm,Defender,Brighton  (Loan) ,Brighton,Brighton  (Loan) ,Brighton
53,Antef Tsoungui,England,30-12-02,,,Defender,,,,Brighton
55,Ed Turns,Wales,18-10-02,,,Defender,,,,Brighton
53,Lars Dendoncker,Belgium,03-04-01,,,Defender,Brighton,Brighton,,Brighton
8,Yves Bissouma,Mali,30-08-96,80kg,182cm,Midfielder,Brighton,Brighton,Brighton,Brighton
10,Alexis Mac Allister,Argentina,24-12-98,72kg,176cm,Midfielder,Brighton,Brighton,Brighton,Brighton
13,Pascal Groß,Germany,15-06-91,78kg,181cm,Midfielder,Brighton,Brighton,Brighton,Brighton
3,Marc Cucurella,Spain,22-07-98,66kg,172cm,Defender,,,,Brighton
15,Jakub Moder,Poland,07-04-99,78kg,188cm,Midfielder,Brighton,Brighton,,Brighton
17,Steven Alzate,Colombia,08-09-98,75kg,180cm,Midfielder,Brighton,L Orient,,Brighton
20,Solly March,England,20-07-94,88kg,180cm,Midfielder,Brighton,Brighton,Brighton,Brighton
14,Adam Lallana,England,10-05-88,73kg,172cm,Midfielder,Brighton,Liverpool,Liverpool,Brighton
42,Marc Leonard,Scotland,19-12-01,,,Midfielder,,,,Brighton
12,Enock Mwepu,Zambia,01-01-98,76kg,184cm,Midfielder,,,,Brighton
18,Danny Welbeck,England,26-11-90,73kg,185cm,Forward,Brighton,Watford,Arsenal,Brighton
25,Moisés Caicedo,Ecuador,02-11-01,73kg,178cm,Midfielder,Brighton,Brighton,,Brighton
9,Neal Maupay,France,14-08-96,69kg,173cm,Forward,Brighton,Brighton,,Brighton
11,Leandro Trossard,Belgium,04-12-94,61kg,171cm,Forward,Brighton,Brighton,,Brighton
60,Jeremy Sarmiento,Ecuador,16-06-02,,,Forward,,,,Brighton
59,Andrew Moran,Ireland,15-10-03,,,Midfielder,,,,Brighton
58,Evan Ferguson,Ireland,19-10-04,,,Forward,,,,Brighton
41,Harry Lewis,England,20-12-97,77kg,191cm,Goalkeeper,Southampton,Southampton,Southampton,Southampton
1,Alex McCarthy,England,03-12-89,79kg,193cm,Goalkeeper,Southampton,Southampton,Southampton,Southampton
44,Fraser Forster,England,17-03-88,93kg,201cm,Goalkeeper,Southampton,Southampton,Southampton,Southampton
13,Willy Caballero,Argentina,28-09-81,81kg,186cm,Goalkeeper,Chelsea,Chelsea,Chelsea,Southampton
5,Jack Stephens,England,27-01-94,75kg,185cm,Defender,Southampton,Southampton,Southampton,Southampton
2,Kyle Walker-Peters,England,13-04-97,62kg,173cm,Defender,Southampton,Southampton  (Loan) ,Southampton,Southampton
6,Yan Valery,France,22-02-99,85kg,180cm,Defender,Southampton,Southampton,Southampton,Southampton
22,Mohammed Salisu,Ghana,17-04-99,82kg,191cm,Defender,Southampton,,,Southampton
35,Jan Bednarek,Poland,12-04-96,77kg,189cm,Defender,Lech Poznan,Lech Poznan,Lech Poznan,Southampton
15,Romain Perraud,France,22-09-97,68kg,173cm,Defender,,,,Southampton
21,Valentino Livramento,England,12-11-02,,,Defender,Chelsea,Chelsea,,Southampton
16,Thierry Small,England,01-08-04,,,Defender,Everton,Everton,,Southampton
6,Oriol Romeu,Spain,24-09-91,83kg,183cm,Midfielder,Southampton,Southampton,Southampton,Southampton
4,Lyanco,Brazil,01-02-97,85kg,187cm,Defender,,,,Southampton
11,Nathan Redmond,England,06-03-94,69kg,173cm,Midfielder,Southampton,Southampton,Southampton,Southampton
17,Stuart Armstrong,Scotland,30-03-92,75kg,183cm,Midfielder,Southampton,Southampton,Southampton,Southampton
23,Nathan Tella,England,05-07-99,,,Midfielder,Southampton,Southampton,Southampton,Southampton
8,James Ward-Prowse,England,01-11-94,66kg,173cm,Midfielder,Southampton,Southampton,Southampton,Southampton
27,Ibrahima Diallo,France,08-03-99,68kg,179cm,Midfielder,Southampton,,,Southampton
20,William Smallbone,Ireland,21-02-00,,,Midfielder,Southampton,Southampton,Southampton,Southampton
19,Moussa Djenepo,Mali,15-06-98,65kg,177cm,Midfielder,Southampton,Southampton,,Southampton
24,Mohamed Elyounoussi,Norway,04-08-94,70kg,178cm,Midfielder,Southampton,Southampton,,Southampton
72,Kgaogelo Chauke,England,08-01-03,,,,Southampton,Southampton,,Southampton
7,Shane Long,Ireland,22-01-87,81kg,178cm,Forward,Southampton,Southampton,Southampton,Southampton
10,Che Adams,Scotland,13-07-96,70kg,175cm,Forward,Southampton,Southampton,,Southampton
32,Theo Walcott,England,16-03-89,68kg,176cm,Forward,Southampton  (Loan) ,Everton,Southampton  (Loan) ,Southampton
18,Armando Broja,Albania,10-09-01,,191cm,Forward,Chelsea,Chelsea,Chelsea,Southampton
9,Adam Armstrong,England,10-02-97,69kg,172cm,Forward,Newcastle,Newcastle,Newcastle,Southampton
53,Kazeem Olaigbe,Belgium,02-01-03,,,Forward,,,,Southampton
31,Ederson,Brazil,17-08-93,86kg,188cm,Goalkeeper,Man City,Man City,Man City,Man City
13,Zack Steffen,United States,02-04-95,86kg,191cm,Goalkeeper,Man City,Man City,,Man City
33,Scott Carson,England,03-09-85,76kg,190cm,Goalkeeper,Man City  (Loan) ,Man City  (Loan) ,Man City  (Loan) ,Man City
84,Cieran Slicker,Scotland,15-09-02,,,Goalkeeper,Man City,,,Man City
2,Kyle Walker,England,28-05-90,70kg,178cm,Defender,Man City,Man City,Man City,Man City
3,Rúben Dias,Portugal,14-05-97,76kg,186cm,Defender,Man City,,,Man City
5,John Stones,England,28-05-94,70kg,188cm,Defender,Man City,Man City,Man City,Man City
6,Nathan Aké,Netherlands,18-02-95,75kg,180cm,Defender,Man City,Bournemouth,Bournemouth,Man City
11,Oleksandr Zinchenko,Ukraine,15-12-96,64kg,175cm,Defender,Man City,Man City,Man City,Man City
14,Aymeric Laporte,Spain,27-05-94,86kg,191cm,Defender,Man City,Man City,Man City,Man City
22,Benjamin Mendy,France,17-07-94,85kg,185cm,Defender,Man City,Man City,Man City,Man City
27,João Cancelo,Portugal,27-05-94,74kg,182cm,Defender,Man City,Man City,,Man City
79,Luke Mbete,England,18-09-03,,,Defender,Man City,Man City,,Man City
56,CJ Egan-Riley,England,02-01-03,,,Defender,Man City,,,Man City
8,Ilkay Gündogan,Germany,24-10-90,80kg,180cm,Midfielder,Man City,Man City,Man City,Man City
17,Kevin De Bruyne,Belgium,28-06-91,68kg,181cm,Midfielder,Man City,Man City,Man City,Man City
16,Rodri,Spain,22-06-96,82kg,191cm,Midfielder,Man City,Man City,,Man City
97,Joshua Wilson-Esbrand,England,26-12-02,,,Defender,,,,Man City
25,Fernandinho,Brazil,04-05-85,67kg,179cm,Midfielder,Man City,Man City,Man City,Man City
47,Phil Foden,England,28-05-00,70kg,171cm,Midfielder,Man City,Man City,Man City,Man City
10,Jack Grealish,England,10-09-95,68kg,175cm,Midfielder,Aston Villa,Aston Villa,Aston Villa,Man City
20,Bernardo Silva,Portugal,10-08-94,64kg,173cm,Midfielder,Man City,Man City,Man City,Man City
90,Roméo Lavia,Belgium,06-01-04,,,Midfielder,Man City,,,Man City
80,Cole Palmer,England,06-05-02,,,Midfielder,Man City,Man City,Man City,Man City
87,James McAtee,England,18-10-02,,,Midfielder,Man City,,,Man City
9,Gabriel Jesus,Brazil,03-04-97,73kg,175cm,Forward,Man City,Man City,Man City,Man City
7,Raheem Sterling,England,08-12-94,69kg,170cm,Forward,Man City,Man City,Man City,Man City
52,Oscar Bobb,Norway,12-07-03,,,Midfielder,,,,Man City
26,Riyad Mahrez,Algeria,21-02-91,67kg,179cm,Forward,Man City,Man City,Man City,Man City
53,Samuel Edozie,England,28-01-03,,,Forward,Man City,Man City,,Man City
26,Dean Henderson,England,12-03-97,85kg,188cm,Goalkeeper,Man Utd,Sheffield Utd  (Loan) ,Man Utd,Man Utd
22,Tom Heaton,England,15-04-86,85kg,188cm,Goalkeeper,Aston Villa,Aston Villa,Aston Villa,Man Utd
37,Kayky,Brazil,11-06-03,68kg,175cm,Forward,,,,Man City
13,Lee Grant,England,27-01-83,83kg,193cm,Goalkeeper,Man Utd,Man Utd,Man Utd,Man Utd
1,David de Gea,Spain,07-11-90,76kg,192cm,Goalkeeper,Man Utd,Man Utd,Man Utd,Man Utd
48,Liam Delap,England,08-02-03,,,Forward,Man City,Man City,,Man City
2,Victor Lindelöf,Sweden,17-07-94,80kg,187cm,Defender,Man Utd,Man Utd,Man Utd,Man Utd
3,Eric Bailly,Cote D’Ivoire,12-04-94,77kg,187cm,Defender,Man Utd,Man Utd,Man Utd,Man Utd
4,Phil Jones,England,21-02-92,71kg,180cm,Defender,Man Utd,Man Utd,Man Utd,Man Utd
5,Harry Maguire,England,05-03-93,100kg,194cm,Defender,Man Utd,Man Utd,Leicester,Man Utd
23,Luke Shaw,England,12-07-95,75kg,185cm,Defender,Man Utd,Man Utd,Man Utd,Man Utd
29,Aaron Wan-Bissaka,England,26-11-97,72kg,183cm,Defender,Man Utd,Man Utd,Crystal Palace,Man Utd
27,Alex Telles,Brazil,15-12-92,71kg,181cm,Defender,Man Utd,,,Man Utd
20,Diogo Dalot,Portugal,18-03-99,76kg,183cm,Defender,Man Utd,Man Utd,Man Utd,Man Utd
74,Álvaro Fernández,Spain,23-03-03,,,Defender,,,,Man Utd
19,Raphaël Varane,France,25-04-93,81kg,191cm,Defender,,,,Man Utd
64,Bjorn Hardley,Netherlands,19-12-02,,,Defender,,,,Man Utd
6,Paul Pogba,France,15-03-93,84kg,191cm,Midfielder,Man Utd,Man Utd,Man Utd,Man Utd
17,Fred,Brazil,05-03-93,64kg,169cm,Midfielder,Man Utd,Man Utd,Man Utd,Man Utd
18,Bruno Fernandes,Portugal,08-09-94,69kg,179cm,Midfielder,Man Utd,Man Utd,,Man Utd
31,Nemanja Matic,Serbia,01-08-88,85kg,194cm,Midfielder,Man Utd,Man Utd,Man Utd,Man Utd
8,Juan Mata,Spain,28-04-88,63kg,170cm,Midfielder,Man Utd,Man Utd,Man Utd,Man Utd
46,Hannibal Mejbri,Tunisia,21-01-03,,177cm,Midfielder,Man Utd,,,Man Utd
14,Jesse Lingard,England,15-12-92,62kg,175cm,Midfielder,West Ham  (Loan) ,Man Utd,Man Utd,Man Utd
39,Scott McTominay,Scotland,08-12-96,88kg,193cm,Midfielder,Man Utd,Man Utd,Man Utd,Man Utd
73,Zidane Iqbal,Iraq,27-04-03,,,Midfielder,,,,Man Utd
21,Edinson Cavani,Uruguay,14-02-87,71kg,184cm,Forward,Man Utd,,,Man Utd
72,Charlie Savage,Wales,02-05-03,,,Midfielder,,,,Man Utd
18,Facundo Pellistri,Uruguay,20-12-01,69kg,175cm,Midfielder,Man Utd,,,Man Utd
75,Alejandro Garnacho,Argentina,01-07-04,,180cm,Midfielder,,,,Man Utd
10,Marcus Rashford,England,31-10-97,70kg,180cm,Forward,Man Utd,Man Utd,Man Utd,Man Utd
11,Mason Greenwood,England,01-10-01,70kg,181cm,Forward,Man Utd,Man Utd,Man Utd,Man Utd
36,Anthony Elanga,Sweden,27-04-02,,178cm,Forward,Man Utd,Man Utd,,Man Utd
25,Jadon Sancho,England,25-03-00,76kg,180cm,Forward,Man City,,,Man Utd
47,Shola Shoretire,England,02-02-04,,170cm,Forward,Man Utd,,,Man Utd
7,Cristiano Ronaldo,Portugal,05-02-85,83kg,187cm,Forward,Man Utd,Man Utd,Man Utd,Man Utd
1,Kasper Schmeichel,Denmark,05-11-86,89kg,189cm,Goalkeeper,Leicester,Leicester,Leicester,Leicester
35,Eldin Jakupovic,Switzerland,02-10-84,85kg,191cm,Goalkeeper,Leicester,Leicester,Leicester,Leicester
4,Çaglar Söyüncü,Turkey,23-05-96,82kg,185cm,Defender,Leicester,Leicester,Leicester,Leicester
3,Wesley Fofana,France,17-12-00,,190cm,Defender,Leicester,,,Leicester
6,Jonny Evans,Northern Ireland,03-01-88,77kg,188cm,Defender,Leicester,Leicester,Leicester,Leicester
12,Danny Ward,Wales,22-06-93,88kg,191cm,Goalkeeper,Leicester,Leicester,Leicester,Leicester
51,Chituru Odunze,United States,14-10-02,,200cm,Goalkeeper,,,,Leicester
2,James Justin,England,23-02-98,80kg,183cm,Defender,Leicester,Leicester,,Leicester
21,Ricardo Pereira,Portugal,06-10-93,70kg,175cm,Defender,Leicester,Leicester,Leicester,Leicester
18,Daniel Amartey,Ghana,21-12-94,79kg,186cm,Defender,Leicester,Leicester,Leicester,Leicester
27,Timothy Castagne,Belgium,05-12-95,80kg,185cm,Defender,Leicester,,,Leicester
23,Jannik Vestergaard,Denmark,03-08-92,98kg,199cm,Defender,Southampton,Southampton,Southampton,Leicester
33,Luke Thomas,England,10-06-01,,,Defender,Leicester,Leicester,Leicester,Leicester
5,Ryan Bertrand,England,05-08-89,85kg,179cm,Defender,Southampton,Southampton,Southampton,Leicester
11,Marc Albrighton,England,18-11-89,74kg,175cm,Midfielder,Leicester,Leicester,Leicester,Leicester
8,Youri Tielemans,Belgium,07-05-97,72kg,176cm,Midfielder,Leicester,Leicester,Leicester  (Loan) ,Leicester
45,Ben Nelson,England,18-03-04,,,Defender,Leicester,Leicester,Leicester,Leicester
10,James Maddison,England,23-11-96,73kg,175cm,Midfielder,Leicester,Leicester,Leicester,Leicester
7,Harvey Barnes,England,09-12-97,66kg,174cm,Midfielder,Leicester,Leicester,Leicester,Leicester
20,Hamza Choudhury,England,01-10-97,64kg,178cm,Midfielder,Leicester,Leicester,Leicester,Leicester
24,Nampalys Mendy,Senegal,23-06-92,73kg,167cm,Midfielder,Leicester,Leicester,Leicester,Leicester
25,Wilfred Ndidi,Nigeria,16-12-96,74kg,183cm,Midfielder,Leicester,Leicester,Leicester,Leicester
42,Boubakary Soumaré,France,27-02-99,70kg,188cm,Midfielder,,,,Leicester
22,Kiernan Dewsbury-Hall,England,06-09-98,,,Midfielder,Leicester,Leicester,Leicester,Leicester
48,Thanawat Suengchitthawon,Thailand,08-01-00,,,Midfielder,Leicester,Leicester,Leicester,Leicester
54,Wanya Marçal-Madivadua,Portugal,19-10-02,,,Midfielder,,,,Leicester
62,Lewis Brunt,England,06-11-00,,,Midfielder,,,,Leicester
53,Oliver Ewing,Wales,03-01-03,,,Midfielder,,,,Leicester
9,Jamie Vardy,England,11-01-87,74kg,179cm,Forward,Leicester,Leicester,Leicester,Leicester
14,Kelechi Iheanacho,Nigeria,03-10-96,82kg,185cm,Forward,Leicester,Leicester,Leicester,Leicester
74,Sammy Braybrooke,England,12-03-04,,,Midfielder,,,,Leicester
17,Ayoze Pérez,Spain,29-07-93,72kg,178cm,Forward,Leicester,Leicester,Newcastle,Leicester
37,Ademola Lookman,Nigeria,20-10-97,71kg,174cm,Forward,Fulham  (Loan) ,Everton,Everton,Leicester
29,Patson Daka,Zambia,09-10-98,71kg,183cm,Forward,,,,Leicester
26,Daniel Bachmann,Austria,09-07-94,81kg,191cm,Goalkeeper,Watford,Watford,Watford,Watford
77,Will Alves,England,04-02-05,,,Forward,,,,Leicester
1,Ben Foster,England,03-04-83,79kg,193cm,Goalkeeper,Watford,Watford,West Brom,Watford
41,Vincent Angelini,Scotland,12-09-03,,186cm,Goalkeeper,,,,Watford
2,Jeremy Ngakia,England,07-09-00,,,Defender,West Ham,,,Watford
35,Robert Elliot,Ireland,30-04-86,94kg,190cm,Goalkeeper,Newcastle,Newcastle,Newcastle,Watford
5,William Troost-Ekong,Nigeria,01-09-93,82kg,191cm,Defender,,,,Watford
11,Adam Masina,Morocco,02-01-94,78kg,189cm,Defender,Watford,Watford,,Watford
21,Kiko Femenía,Spain,02-02-91,61kg,176cm,Defender,Watford,Watford,Watford,Watford
15,Craig Cathcart,Northern Ireland,06-02-89,73kg,188cm,Defender,Watford,Watford,Watford,Watford
27,Christian Kabasele,Belgium,24-02-91,84kg,187cm,Defender,Watford,Watford,Watford,Watford
31,Francisco Sierralta,Chile,06-05-97,83kg,190cm,Defender,,,,Watford
3,Danny Rose,England,02-07-90,72kg,173cm,Defender,Newcastle  (Loan) ,Newcastle  (Loan) ,Spurs,Watford
13,Nicolas Nkoulou,Cameroon,27-03-90,77kg,184cm,Defender,,,,Watford
14,Hassane Kamara,Cote D’Ivoire,05-03-94,67kg,168cm,Defender,,,,Watford
22,Samir,Brazil,05-12-94,73kg,189cm,Defender,,,,Watford
42,James Morris,England,23-11-01,,,Defender,Watford,,,Watford
48,Derek Agyakwa,Netherlands,19-12-01,,,Defender,Watford,,,Watford
8,Tom Cleverley,England,12-08-89,67kg,175cm,Midfielder,Watford,Watford,Watford,Watford
16,Dan Gosling,England,01-02-90,79kg,183cm,Midfielder,Bournemouth,Bournemouth,Bournemouth,Watford
12,Ken Sema,Sweden,30-09-93,69kg,180cm,Midfielder,Watford,Watford,,Watford
23,Ignacio Pussetto,Argentina,21-12-95,74kg,180cm,Forward,Watford,,,Watford
4,Peter Etebo,Nigeria,09-11-95,70kg,172cm,Midfielder,,,,Watford
33,Juraj Kucka,Slovakia,26-02-87,86kg,186cm,Midfielder,,,,Watford
34,Kwadwo Baah,Germany,27-01-03,,,Midfielder,,,,Watford
6,Imrân Louza,Morocco,01-05-99,65kg,178cm,Midfielder,,,,Watford
52,Daniel Phillips,,,,,Midfielder,,,,Watford
19,Moussa Sissoko,France,16-08-89,83kg,187cm,Midfielder,Spurs,Spurs,Spurs,Watford
39,Edo Kayembe,DR Congo,03-06-98,77kg,183cm,Midfielder,,,,Watford
47,Shaqai Forde,England,,,,Midfielder,,,,Watford
10,João Pedro,Brazil,26-09-01,70kg,182cm,Forward,Watford,,,Watford
23,Ismaïla Sarr,Senegal,25-02-98,76kg,185cm,Forward,Watford,,,Watford
25,Emmanuel Dennis,Nigeria,15-11-97,67kg,175cm,Forward,,,,Watford
7,Joshua King,Norway,15-01-92,74kg,180cm,Forward,Everton,Everton,Bournemouth,Watford
28,Samuel Kalu,Nigeria,26-08-97,74kg,176cm,Forward,,,,Watford
1,Alisson,Brazil,02-10-92,91kg,191cm,Goalkeeper,Liverpool,Liverpool,Liverpool,Liverpool
29,Cucho Hernández,Colombia,20-04-99,73kg,176cm,Forward,,,,Watford
13,Adrián,Spain,03-01-87,80kg,190cm,Goalkeeper,Liverpool,Liverpool,West Ham,Liverpool
62,Caoimhin Kelleher,Ireland,23-11-98,74kg,178cm,Goalkeeper,Liverpool,Liverpool,Liverpool,Liverpool
22,Loris Karius,Germany,22-06-93,87kg,189cm,Goalkeeper,Liverpool,Liverpool,Liverpool,Liverpool
26,Andrew Robertson,Scotland,11-03-94,64kg,178cm,Defender,Liverpool,Liverpool,Liverpool,Liverpool
32,Joel Matip,Cameroon,08-08-91,90kg,195cm,Defender,Liverpool,Liverpool,Liverpool,Liverpool
97,Marcelo Pitaluga,Brazil,20-12-02,77kg,192cm,Goalkeeper,Liverpool,Liverpool,,Liverpool
95,Harvey Davies,England,03-09-03,,,Goalkeeper,Liverpool,Liverpool,Liverpool,Liverpool
4,Virgil van Dijk,Netherlands,08-07-91,92kg,193cm,Defender,Liverpool,Liverpool,Liverpool,Liverpool
21,Konstantinos Tsimikas,Greece,12-05-96,77kg,178cm,Defender,Liverpool,,,Liverpool
12,Joseph Gomez,England,23-05-97,77kg,188cm,Defender,Liverpool,Liverpool,Liverpool,Liverpool
5,Ibrahima Konaté,France,25-05-99,95kg,194cm,Defender,,,,Liverpool
63,Owen Beck,Wales,09-08-02,,,Defender,Liverpool,Liverpool,Liverpool,Liverpool
3,Fabinho,Brazil,23-10-93,78kg,188cm,Midfielder,Liverpool,Liverpool,Liverpool,Liverpool
46,Rhys Williams,England,03-02-01,,195cm,Defender,Liverpool,Liverpool,,Liverpool
